編號,供應商簡稱,分類
5213,新芳園醬油,食品加工品
6410,清河堂,水果
6478,丹媞絲手功果醬,食品加工品
6944,漢坊餅藝,食品加工品
6945,123雞式燴社,生鮮水產/肉品
6946,謝謝農場,農產品/原住民/花東
6949,8more 鮮物專賣店,飲料
6950,溪底遙學習農園,飲料
6953,向記,食品加工品
6954,萬巒林家豬腳,生鮮水產/肉品
6956,石碇竹柏苑,食品加工品
6957,佳芳有機茶園,茶/咖啡
6959,張師傅手工黑糖,食品加工品
6960,家咖哩 南洋原味咖哩屋,食品加工品
6963,淡水果然工坊,甜點
6964,大地之愛,幼兒相關
6965,健福有機農場,農產品/原住民/花東
6968,簡單樸實 村家味,食品加工品
6969,香腸文紹興香腸,生鮮水產/肉品
6972,巨農有機農場,農產品/原住民/花東
7007,高雄甲仙 第一家芋冰城,冰品
7032,御皇米 百年東里碾米廠,農產品/原住民/花東
7065,野飼崎雞,生鮮水產/肉品
7139,日本親子車,幼兒相關
7231,日芳珍饌,生鮮水產/肉品
7273,3M空氣清淨機,電器3c/美妝
7278,芃柏園藝,運動/園藝/生活/其他
7316,同記安平豆花,甜點
7329,愛兒館,幼兒相關
7348,橘園精品咖啡,茶/咖啡
7349,貝朵芙茶坊,茶/咖啡
7419,有心肉舖子,生鮮水產/肉品
7421,高大鮮乳,牧場鮮奶
7432,無名黑鐵咖啡,茶/咖啡
7495,東寶黑豬肉棧,生鮮水產/肉品
7511,陳協和碾米工廠,農產品/原住民/花東
7530,宜蘭縣五結鄉農會,農產品/原住民/花東
7533,森高砂咖啡,茶/咖啡
7593,永齡農場,農產品/原住民/花東
7784,Microsoft 微軟,電器3c/美妝
7810,Canon 佳能,電器3c/美妝
7843,登美 DenMat,電器3c/美妝
7933,雅浩家具 ystore,運動/園藝/生活/其他
7949,安吃蟹 苗栗優質大閘蟹,生鮮水產/肉品
7959,HP 印表機,電器3c/美妝
7960,Apple 蘋果,電器3c/美妝
7968,Garmin,電器3c/美妝
